Tarea,Grupo,Responsable,Estado,Prioridad,Fecha límite,Rama,Módulo,Notas
"Crear repo, estructura y CONTRATOS.md",Sprint 0 — Setup (5-10 ago),Jose Luis,Hecho,Alta,2026-08-05,feat/nucleo-jose,nucleo,Ya está en GitHub: github.com/bdjoseluis/qreaper
Dar acceso a los 4 colaboradores en GitHub,Sprint 0 — Setup (5-10 ago),Jose Luis,En curso,Alta,2026-08-07,feat/nucleo-jose,nucleo,Hacen falta los usuarios de GitHub de cada uno
Proteger la rama main (PR obligatorio),Sprint 0 — Setup (5-10 ago),Jose Luis,Backlog,Media,2026-08-08,feat/nucleo-jose,nucleo,Settings > Branches > Add rule
Crear tablero Monday y pegar enlace en docs/ORGANIZACION.md,Sprint 0 — Setup (5-10 ago),Jose Luis,En curso,Media,2026-08-07,feat/nucleo-jose,nucleo,
Crear carpeta Drive compartida y pegar enlace,Sprint 0 — Setup (5-10 ago),Jose Luis,Backlog,Baja,2026-08-08,feat/nucleo-jose,nucleo,
Clonar el repo y montar el entorno (venv + requirements),Sprint 0 — Setup (5-10 ago),Andrés,Backlog,Alta,2026-08-08,feat/decode-andres,decode.py,git clone + python -m venv .venv + pip install -r requirements.txt
Cambiar a mi rama y ejecutar el stub de mi módulo,Sprint 0 — Setup (5-10 ago),Andrés,Backlog,Alta,2026-08-10,feat/decode-andres,decode.py,git checkout <mi rama>; leer CONTRATOS.md antes de tocar nada
Clonar el repo y montar el entorno (venv + requirements),Sprint 0 — Setup (5-10 ago),Alex,Backlog,Alta,2026-08-08,feat/analisis-url-alex,analisis_url.py,git clone + python -m venv .venv + pip install -r requirements.txt
Cambiar a mi rama y ejecutar el stub de mi módulo,Sprint 0 — Setup (5-10 ago),Alex,Backlog,Alta,2026-08-10,feat/analisis-url-alex,analisis_url.py,git checkout <mi rama>; leer CONTRATOS.md antes de tocar nada
Clonar el repo y montar el entorno (venv + requirements),Sprint 0 — Setup (5-10 ago),JuanFran,Backlog,Alta,2026-08-08,feat/informe-juanfran,informe.py,git clone + python -m venv .venv + pip install -r requirements.txt
Cambiar a mi rama y ejecutar el stub de mi módulo,Sprint 0 — Setup (5-10 ago),JuanFran,Backlog,Alta,2026-08-10,feat/informe-juanfran,informe.py,git checkout <mi rama>; leer CONTRATOS.md antes de tocar nada
Clonar el repo y montar el entorno (venv + requirements),Sprint 0 — Setup (5-10 ago),Ismael,Backlog,Alta,2026-08-08,feat/interfaz-ismael,cli.py,git clone + python -m venv .venv + pip install -r requirements.txt
Cambiar a mi rama y ejecutar el stub de mi módulo,Sprint 0 — Setup (5-10 ago),Ismael,Backlog,Alta,2026-08-10,feat/interfaz-ismael,cli.py,git checkout <mi rama>; leer CONTRATOS.md antes de tocar nada
Leer CONTRATOS.md y confirmar que entiendo mi interfaz,Sprint 0 — Setup (5-10 ago),Jose Luis,Backlog,Alta,2026-08-10,feat/nucleo-jose,nucleo,Todo el equipo debe hacerlo
Sandbox: Playwright headless dentro de Docker,Sprint 1 — Módulos funcionales (11-24 ago),Jose Luis,Backlog,Alta,2026-08-14,feat/nucleo-jose,nucleo,
Seguir redirecciones y capturar la URL final,Sprint 1 — Módulos funcionales (11-24 ago),Jose Luis,Backlog,Alta,2026-08-17,feat/nucleo-jose,nucleo,
Screenshot de la página de destino,Sprint 1 — Módulos funcionales (11-24 ago),Jose Luis,Backlog,Media,2026-08-19,feat/nucleo-jose,nucleo,
