archivo,carpeta,url,etiqueta,marca_referencia_o_suplantada
01,legitimos,https://www.correos.es/es/es/particulares,legitimo,correos.es
01,maliciosos,https://correos-es.top/pago-pendiente,malicioso,correos.es
02,legitimos,https://www.bbva.es/personas/,legitimo,bbva.es
02,maliciosos,https://bbva-seguridad.click/verificar-cuenta,malicioso,bbva.es
03,legitimos,https://www.dgt.es/,legitimo,dgt.es
03,maliciosos,https://dgt-multas.xyz/pago-multa,malicioso,dgt.es
04,legitimos,https://www.bancosantander.es/,legitimo,santander.es
04,maliciosos,https://santander-secure.info/clave-acceso,malicioso,santander.es
05,legitimos,https://www.caixabank.es/,legitimo,caixabank.es
05,maliciosos,https://caixabank-verificacion.online/login,malicioso,caixabank.es
06,legitimos,https://www.amazon.es/,legitimo,amazon.es
06,maliciosos,https://amazon-es-pagos.shop/actualizar-pago,malicioso,amazon.es
07,legitimos,https://www.correosexpress.com/,legitimo,correosexpress.com
07,maliciosos,https://correos-express-tracking.top/seguimiento,malicioso,correosexpress.com
08,legitimos,https://www.seg-social.es/,legitimo,seg-social.es
08,maliciosos,https://seg-social-ayudas.xyz/solicitar-ayuda,malicioso,seg-social.es
09,legitimos,https://www.agenciatributaria.gob.es/,legitimo,agenciatributaria.gob.es
09,maliciosos,https://agenciatributaria-devolucion.click/devolucion,malicioso,agenciatributaria.gob.es
10,legitimos,https://www.endesa.com/es,legitimo,endesa.es
10,maliciosos,https://endesa-facturas.online/factura-impagada,malicioso,endesa.es
11,legitimos,https://www.iberdrola.es/,legitimo,iberdrola.es
11,maliciosos,https://iberdrola-recibo.xyz/recibo-pendiente,malicioso,iberdrola.es
12,legitimos,https://www.movistar.es/,legitimo,movistar.es
12,maliciosos,https://movistar-oferta.click/oferta-exclusiva,malicioso,movistar.es
13,legitimos,https://www.vodafone.es/,legitimo,vodafone.es
13,maliciosos,https://vodafone-factura.top/factura,malicioso,vodafone.es
14,legitimos,https://www.mediamarkt.es/,legitimo,mediamarkt.es
14,maliciosos,https://mediamarkt-sorteo.shop/premio,malicioso,mediamarkt.es
15,legitimos,https://www.elcorteingles.es/,legitimo,elcorteingles.es
15,maliciosos,https://elcorteingles-premio.online/reclamar-premio,malicioso,elcorteingles.es
16,legitimos,https://www.paypal.com/es/home,legitimo,paypal.com
16,maliciosos,https://paypal-verificacion.xyz/resolver-limitacion,malicioso,paypal.com
17,legitimos,https://www.netflix.com/es/,legitimo,netflix.com
17,maliciosos,https://netflix-pago-pendiente.click/actualizar-pago,malicioso,netflix.com
18,legitimos,https://www.dhl.com/es-es/home.html,legitimo,dhl.com
18,maliciosos,https://dhl-envio-pendiente.top/aduanas,malicioso,dhl.com
19,legitimos,https://www.fedex.com/es-es/home.html,legitimo,fedex.com
19,maliciosos,https://fedex-aduanas.xyz/pagar-aduana,malicioso,fedex.com
20,legitimos,https://glovoapp.com/es/,legitimo,glovoapp.com
20,maliciosos,https://glovo-reembolso.click/solicitar-reembolso,malicioso,glovoapp.com
21,legitimos,https://www.lineadirecta.com/,legitimo,lineadirecta.com
21,maliciosos,https://lineadirecta-poliza.online/renovar-poliza,malicioso,lineadirecta.com
22,legitimos,https://www.ing.es/,legitimo,ing.es
22,maliciosos,https://ing-alerta-seguridad.xyz/confirmar-identidad,malicioso,ing.es
23,legitimos,https://www.bankinter.com/,legitimo,bankinter.com
23,maliciosos,https://bankinter-clave.click/clave-firma,malicioso,bankinter.com
24,legitimos,https://www.bancsabadell.com/,legitimo,bancsabadell.com
24,maliciosos,https://sabadell-verifica.top/verificar,malicioso,bancsabadell.com
25,legitimos,https://sede.agenciatributaria.gob.es/,legitimo,hacienda.gob.es
25,maliciosos,https://hacienda-devolucion.xyz/tramitar-devolucion,malicioso,hacienda.gob.es
26,legitimos,https://www.seur.com/,legitimo,seur.com
26,maliciosos,https://seur-paquete.click/paquete-retenido,malicioso,seur.com
27,legitimos,https://www.correos.es/es/es/,legitimo,correos.es
27,maliciosos,https://correos-digital-aviso.online/aviso-entrega,malicioso,correos.es
28,legitimos,https://www.just-eat.es/,legitimo,just-eat.es
28,maliciosos,https://justeat-pedido.xyz/reembolso-pedido,malicioso,just-eat.es
29,legitimos,https://www.ruralvia.com/,legitimo,ruralvia.com
29,maliciosos,https://ruralvia-acceso.click/acceso-restringido,malicioso,ruralvia.com
30,legitimos,https://www.abanca.com/es/,legitimo,abanca.com
30,maliciosos,https://abanca-seguridad.top/verificar-datos,malicioso,abanca.com
